Formula,Predicted_Bandgap_eV,Predicted_Ef_eV_atom,Active_Material_Cost_m2,Panel_Lifetime_Years,PCE_Median,LCOE_Median,LCOE_Q10_Best,LCOE_Q90_Worst
Rb2WGaS3Cl3,1.78753,-1.38774,25.95721,30.00000,21.91266,0.04462,0.03774,0.06273
K2GeWO3S3,1.96216,-1.61052,7.21516,30.00000,18.76646,0.04462,0.03614,0.06661
K2MoWO6,2.02019,-2.13708,0.27396,30.00000,17.70980,0.04464,0.03556,0.06777
Rb2SnFeSe3Cl3,1.03698,-1.25084,22.56357,30.00000,21.59732,0.04465,0.03667,0.56230
K2MnInO3F3,2.00934,-2.43341,2.29250,30.00000,17.97031,0.04471,0.03573,0.06804
Rb2NbCuO3F3,1.68473,-2.61973,35.72926,30.00000,23.41770,0.04471,0.03858,0.06111
Na2VFeO3F3,2.02692,-2.62106,0.09654,30.00000,17.56873,0.04471,0.03557,0.06869
Rb2TiSbO3I3,1.84683,-1.86320,20.43702,30.00000,20.88882,0.04472,0.03722,0.06400
Rb2GeMnO3S3,1.56480,-1.67677,42.45351,30.00000,24.63461,0.04472,0.03919,0.05983
K2SnCuF3I3,0.96911,-1.94093,0.45320,30.00000,17.79113,0.04474,0.03367,0.48939
Rb2GeFeS3Se3,1.07455,-0.96150,29.87860,30.00000,22.78114,0.04475,0.03759,0.57251
Li2GeVO3Cl3,1.93157,-1.90785,11.69794,30.00000,19.47465,0.04476,0.03656,0.06576
K2MoAgO3F3,1.99454,-2.32119,3.89322,30.00000,18.16077,0.04478,0.03587,0.06740
Rb2MnSbS3Se3,1.03039,-0.96996,22.86718,30.00000,21.53008,0.04484,0.03669,0.56398
Rb2TiCrO3Br3,1.78900,-2.14049,27.59931,30.00000,21.89085,0.04489,0.03798,0.06307
K2ZrMoO6,2.03071,-2.76580,0.25175,30.00000,17.49829,0.04489,0.03565,0.06873
K2ZrBiO3Cl3,2.02720,-2.21794,0.18657,30.00000,17.53686,0.04491,0.03562,0.06845
Rb2MnGaO6,1.61912,-2.03786,41.41939,30.00000,24.19074,0.04496,0.03918,0.06061
Rb2FeSbSe3Cl3,1.03082,-1.27808,22.49286,30.00000,21.32656,0.04499,0.03668,0.56082
Rb2VFeO3Cl3,1.70508,-2.06736,35.69364,30.00000,23.17658,0.04501,0.03871,0.06173
Na2GeFeO3S3,1.94662,-1.56791,10.65586,30.00000,19.06687,0.04502,0.03649,0.06691
Rb2GeZnS3Se3,1.77649,-0.98869,29.43612,30.00000,22.10431,0.04502,0.03815,0.06296
Rb2SbCuSe3Cl3,1.02612,-1.17919,22.25552,30.00000,21.18448,0.04505,0.03662,0.56421
K2VSbO6,2.03718,-2.34824,0.25114,30.00000,17.41261,0.04506,0.03574,0.06896
Rb2SnNbO3I3,1.87200,-1.97218,19.40128,30.00000,20.39361,0.04507,0.03726,0.06503
Rb2GeMnI6,1.00795,-1.14315,18.22350,30.00000,20.49321,0.04508,0.03617,0.55143
Rb2TiFeO3Cl3,1.70785,-2.18273,35.90453,30.00000,23.09084,0.04511,0.03876,0.06207
Na2SnCrO3S3,2.04300,-1.72891,0.12868,30.00000,17.35270,0.04512,0.03564,0.06982
Rb2TiBiO3I3,1.88359,-1.85372,18.37411,30.00000,20.24911,0.04514,0.03717,0.06530
Rb2TaFeO3Cl3,1.79674,-2.16670,27.99164,30.00000,21.76000,0.04515,0.03803,0.06350
Rb2TiSbO3Br3,1.82798,-1.99682,24.61702,30.00000,21.22566,0.04518,0.03776,0.06490
Na2TiCrO3F3,2.03920,-2.82694,0.03748,30.00000,17.32449,0.04518,0.03578,0.06918
K2SnSbO3F3,2.03969,-2.35184,0.23919,30.00000,17.33259,0.04521,0.03566,0.06936
Na2SnMoO3S3,2.03898,-1.73396,0.26156,30.00000,17.31283,0.04522,0.03569,0.06931
K2VSbSe6,0.95940,-1.01849,0.40847,30.00000,17.48889,0.04523,0.03371,0.49044
Li2GeMoO3S3,1.95471,-1.61044,10.59082,30.00000,18.88369,0.04526,0.03656,0.06726
Rb2GeFeSe3Cl3,1.05801,-1.29719,29.39833,30.00000,22.22005,0.04526,0.03756,0.58008
Rb2SnCuCl3I3,1.00933,-1.31237,18.69217,30.00000,20.49509,0.04526,0.03614,0.55508
Na2SnNbO3Cl3,2.04250,-2.02465,0.19068,30.00000,17.28694,0.04528,0.03575,0.06949
K2MoBiO3F3,2.04026,-2.27251,0.29623,30.00000,17.25684,0.04529,0.03578,0.06916
Na2MnGaO3F3,2.02101,-2.41694,2.98373,30.00000,17.71478,0.04530,0.03601,0.06946
Rb2SnSbO3Cl3,1.80904,-1.78753,27.38124,30.00000,21.54097,0.04530,0.03803,0.06401
Na2GeMoO3S3,1.96256,-1.58862,9.64119,30.00000,18.71100,0.04532,0.03650,0.06757
Rb2GeMnBr3I3,1.01856,-1.31016,20.74170,30.00000,20.73336,0.04534,0.03644,0.56188
Na2VTaO6,2.04400,-2.85585,0.95625,30.00000,17.28694,0.04539,0.03593,0.06979
Rb2TiGaO3Br3,1.81048,-2.13628,28.16511,30.00000,21.53426,0.04544,0.03819,0.06451
Rb2GeCuF3I3,1.02965,-1.93510,25.58939,30.00000,21.40123,0.04546,0.03713,0.57510
K2NbSbO6,2.05336,-2.57505,0.27165,30.00000,17.15426,0.04547,0.03581,0.07015
Rb2VMnO3Cl3,1.73135,-2.12603,35.77061,30.00000,22.80533,0.04548,0.03883,0.06292
Li2GeWO3S3,1.98624,-1.64385,8.31786,30.00000,18.36346,0.04554,0.03653,0.06871
Na2SnCrO3F3,2.05690,-2.38016,0.13039,30.00000,17.07349,0.04556,0.03585,0.07075
Rb2GeMoS6,1.73549,-1.08928,35.46176,30.00000,22.65586,0.04557,0.03886,0.06328
Rb2TaZnO3Cl3,1.81868,-2.19631,27.52622,30.00000,21.34208,0.04559,0.03814,0.06472
Rb2MnSbO3F3,1.75698,-2.37039,34.14941,30.00000,22.41919,0.04560,0.03870,0.06385
Na2SnVO3F3,2.05605,-2.46192,0.18872,30.00000,17.07258,0.04561,0.03589,0.07075
Rb2WBiO3Cl3,1.87515,-1.82574,21.61666,30.00000,20.33873,0.04561,0.03766,0.06620
K2SnGaO3F3,2.03687,-2.39264,2.32730,30.00000,17.40100,0.04562,0.03607,0.06987
Na2SnCrO6,2.05772,-2.11319,0.13113,30.00000,17.06183,0.04562,0.03592,0.07101
K2SnFeO3F3,2.06050,-2.26732,0.12805,30.00000,17.02908,0.04566,0.03589,0.07082
Na2SnWO6,2.05482,-2.08941,0.20047,30.00000,17.06704,0.04567,0.03594,0.07108
Rb2SbCuS3I3,1.00464,-0.92562,18.88162,30.00000,20.19333,0.04569,0.03622,0.55710
Rb2ZrMoO3S3,1.79583,-2.06188,30.83228,30.00000,21.76988,0.04569,0.03851,0.06458
Na2ZrInO3Cl3,2.04632,-2.19770,2.01461,30.00000,17.24908,0.04572,0.03604,0.07057
Na2WGaO3Cl3,2.04671,-1.72352,1.92340,30.00000,17.23803,0.04573,0.03610,0.07025
Rb2GeWS6,1.80232,-1.09038,30.41434,30.00000,21.65335,0.04574,0.03845,0.06492
Rb2SnZnO3S3,1.79231,-1.70634,30.93130,30.00000,21.77628,0.04575,0.03856,0.06434
Na2GeWO3S3,1.99735,-1.54382,7.71846,30.00000,18.10010,0.04575,0.03652,0.06983
Na2FeMnSe3I3,0.95806,-0.99622,0.47814,30.00000,17.15244,0.04576,0.03373,0.49172
K2TiFeO3F3,2.06146,-2.68825,0.04623,30.00000,16.94269,0.04578,0.03594,0.07078
Rb2WAgO3Cl3,1.83463,-1.73799,27.36670,30.00000,21.11907,0.04579,0.03822,0.06536
Na2VMnO3F3,2.06237,-2.67891,0.10006,30.00000,16.92527,0.04580,0.03600,0.07125
Rb2NbTaO3S3,1.83671,-2.13440,26.79114,30.00000,21.05115,0.04580,0.03814,0.06576
Na2CrMnO3F3,2.06345,-2.52681,0.02767,30.00000,16.89829,0.04582,0.03594,0.07121
K2SnWO6,2.06369,-2.05383,0.20297,30.00000,16.96922,0.04582,0.03599,0.07104
Rb2SnGeI6,0.99430,-1.02911,17.22027,30.00000,19.75130,0.04583,0.03604,0.55501
K2GeTaO3F3,1.99581,-2.68212,8.54506,30.00000,18.20591,0.04583,0.03666,0.06947
Na2GeBiO3Cl3,2.00726,-1.62458,7.18278,30.00000,17.99439,0.04587,0.03655,0.06940
Rb2NbCuSe3Br3,1.00695,-1.30512,19.35384,30.00000,20.13187,0.04587,0.03630,0.55864
Na2ZrInO3F3,2.04649,-2.78081,2.29448,30.00000,17.21205,0.04589,0.03612,0.07139
Rb2SbZnO3F3,1.77745,-2.35621,33.37909,30.00000,22.00135,0.04589,0.03881,0.06443
K2WMnO6,2.06732,-2.17915,0.15002,30.00000,16.86836,0.04591,0.03604,0.07163
Na2GeInO3Cl3,1.97724,-1.78395,10.80143,30.00000,18.47079,0.04592,0.03683,0.06918
K2SnCrO3S3,2.06944,-1.78186,0.13759,30.00000,16.85884,0.04592,0.03597,0.07166
K2VMnO3F3,2.06647,-2.75476,0.11537,30.00000,16.87961,0.04594,0.03599,0.07140
Na2WGaO3F3,2.04942,-2.34240,2.15926,30.00000,17.16715,0.04595,0.03612,0.07064
Rb2CrMnO3Cl3,1.75893,-1.79263,35.64038,30.00000,22.32779,0.04597,0.03898,0.06419
Rb2TaCuO3F3,1.81114,-2.67330,30.24726,30.00000,21.47851,0.04598,0.03856,0.06528
Rb2TiWO3S3,1.83701,-2.01747,28.27188,30.00000,21.04580,0.04614,0.03837,0.06605
Rb2SnFeCl3I3,0.99587,-1.35202,18.85642,30.00000,19.82093,0.04615,0.03628,0.56119
Rb2MoGaO3Br3,1.85458,-1.71212,26.09268,30.00000,20.73323,0.04615,0.03823,0.06623
Rb2SbCuSe3Br3,0.99695,-1.15192,18.70093,30.00000,19.75513,0.04620,0.03626,0.55880
Na2SnGeO3S3,2.00585,-1.61902,8.99343,30.00000,18.00104,0.04624,0.03679,0.07031
Rb2SbCuS3Br3,1.00526,-1.15479,22.35901,30.00000,20.30015,0.04625,0.03671,0.57118
K2MoAgSe3I3,0.95667,-0.96916,2.08267,30.00000,17.03701,0.04627,0.03398,0.50006
Rb2WSbO3Cl3,1.87846,-1.79885,24.58034,30.00000,20.37834,0.04627,0.03812,0.06744
Na2GeCrO3S3,1.98981,-1.58508,10.79817,30.00000,18.22041,0.04632,0.03694,0.06974
K2GeNbO3Cl3,2.00936,-2.03635,8.63883,30.00000,17.91662,0.04633,0.03677,0.07067
Na2SnTaO3F3,2.07428,-2.75140,0.82490,30.00000,16.71793,0.04635,0.03626,0.07251
Rb2VTaO3S3,1.84207,-2.10456,28.81260,30.00000,20.94990,0.04637,0.03853,0.06633
K2ZrInO3Cl3,2.06816,-2.26553,1.88406,30.00000,16.84971,0.04637,0.03628,0.07271
K2GeFeS3I3,0.96630,-0.96299,5.36378,30.00000,17.52357,0.04639,0.03446,0.51165
Rb2FeMnO3F3,1.73853,-2.42260,39.82658,30.00000,22.62251,0.04640,0.03952,0.06458
K2MoMnO6,2.08215,-2.04475,0.22545,30.00000,16.55771,0.04640,0.03623,0.07300
Rb2MoAgO3Cl3,1.82199,-1.69861,31.93458,30.00000,21.36948,0.04641,0.03883,0.06641
K2GeFeO3S3,2.00720,-1.61546,9.69925,30.00000,18.00479,0.04641,0.03695,0.07066
Na2GeSbO3Cl3,2.01033,-1.70901,8.73021,30.00000,17.87254,0.04642,0.03680,0.07104
K2SnGaO3Cl3,2.06829,-1.82997,2.05328,30.00000,16.85739,0.04643,0.03632,0.07242
K2CrWO3F3,2.08359,-2.62366,0.15719,30.00000,16.58288,0.04646,0.03618,0.07299
Na2TiWO6,2.08315,-2.77811,0.15139,30.00000,16.56413,0.04649,0.03614,0.07308
K2GeVO3F3,1.99338,-2.61830,11.15188,30.00000,18.19716,0.04651,0.03701,0.07084
Rb2WMnO3S3,1.86092,-1.69338,27.90688,30.00000,20.60525,0.04659,0.03846,0.06737
Na2SnCuF3I3,0.94990,-1.83512,0.46364,30.00000,16.67402,0.04660,0.03377,0.49171
Na2TiFeO3F3,2.09277,-2.69098,0.02205,30.00000,16.44526,0.04660,0.03621,0.07417
Rb2TaSbO3S3,1.88215,-1.91009,25.56370,30.00000,20.28193,0.04667,0.03832,0.06776
K2GeWO6,2.02862,-2.06094,8.00998,30.00000,17.57343,0.04668,0.03688,0.07156
Rb2MoBiO3Cl3,1.89776,-1.81484,24.64967,30.00000,20.01103,0.04672,0.03829,0.06849
Rb2WSbO3F3,1.87591,-2.31833,26.66768,30.00000,20.30637,0.04678,0.03836,0.06800
Rb2SnBiO3Cl3,1.90436,-1.73721,23.74784,30.00000,19.87935,0.04678,0.03820,0.06902
K2WBiO3F3,2.09466,-2.31197,0.23135,30.00000,16.36768,0.04685,0.03638,0.07444
Rb2FeMnSe6,0.99171,-1.03147,20.66155,30.00000,19.55404,0.04687,0.03656,0.56785
Na2ZrGaO3Cl3,2.08572,-2.19079,2.32403,30.00000,16.59840,0.04691,0.03659,0.07414
K2SnNbO3Cl3,2.09899,-2.08673,0.19407,30.00000,16.32914,0.04694,0.03636,0.07490
Na2TiSbO3Cl3,2.09847,-2.00866,0.16400,30.00000,16.30127,0.04697,0.03640,0.07433
