Target_Bandgap_eV,ML_MAE_eV,PCE_Current,PCE_Future,Percent_SQ_Current,Percent_SQ_Future,LCOE_Penalty_Current,LCOE_Penalty_Future
2.03750,0.07500,0.14382,0.17386,70.24144,84.91158,0.00005,0.00000
2.09167,0.07500,0.13423,0.16396,69.60928,85.02475,0.00000,0.00004
2.14583,0.07500,0.12716,0.15427,70.11126,85.05451,0.00013,0.00000
2.20000,0.07500,0.11871,0.14455,69.82750,85.03045,0.00002,0.00000
0.90000,0.10000,0.10509,0.12699,72.47570,87.57865,0.00000,0.00000
0.95417,0.10000,0.13997,0.16647,70.27863,83.58106,0.00000,0.00061
1.00833,0.10000,0.17117,0.20887,68.58043,83.68614,0.00260,0.00075
1.06250,0.10000,0.19311,0.23607,69.12286,84.49916,0.00132,0.00051
1.11667,0.10000,0.20887,0.25477,68.55695,83.62244,0.00209,0.00054
1.17083,0.10000,0.21925,0.26752,68.55273,83.64238,0.00167,0.00042
1.22500,0.10000,0.22623,0.27589,68.55583,83.60210,0.00178,0.00043
1.27917,0.10000,0.22986,0.27936,68.75101,83.55832,0.00140,0.00038
1.33333,0.10000,0.23099,0.28131,68.57803,83.51593,0.00130,0.00035
1.38750,0.10000,0.23054,0.28030,68.89604,83.76582,0.00125,0.00028
1.44167,0.10000,0.22805,0.27615,69.40485,84.04278,0.00069,0.00033
1.49583,0.10000,0.22294,0.27126,69.33489,84.36177,0.00083,0.00011
1.55000,0.10000,0.21718,0.26380,69.71980,84.68836,0.00032,0.00010
1.60417,0.10000,0.20968,0.25534,69.63235,84.79373,0.00042,0.00004
1.65833,0.10000,0.20230,0.24544,69.81821,84.70695,0.00032,0.00012
1.71250,0.10000,0.19423,0.23585,69.83711,84.79918,0.00028,0.00007
1.76667,0.10000,0.18530,0.22542,69.74945,84.85221,0.00031,0.00007
1.82083,0.10000,0.17723,0.21537,69.99438,85.05711,0.00035,0.00000
1.87500,0.10000,0.16848,0.20496,69.97936,85.13332,0.00000,0.00000
1.92917,0.10000,0.15978,0.19486,69.89909,85.24527,0.00000,0.00000
1.98333,0.10000,0.15231,0.18376,70.29472,84.81129,0.00000,0.00006
2.03750,0.10000,0.14288,0.17380,69.78080,84.88614,0.00025,0.00009
2.09167,0.10000,0.13546,0.16388,70.24938,84.98475,0.00000,0.00006
2.14583,0.10000,0.12683,0.15454,69.92529,85.20266,0.00017,0.00003
2.20000,0.10000,0.11912,0.14469,70.06792,85.10973,0.00000,0.00000
0.90000,0.12500,0.10473,0.12540,72.23037,86.47957,0.00000,0.00000
0.95417,0.12500,0.13908,0.16803,69.83281,84.36410,0.00014,0.00032
1.00833,0.12500,0.17097,0.20633,68.50061,82.66838,0.00297,0.00087
1.06250,0.12500,0.19276,0.23684,68.99597,84.77439,0.00164,0.00043
1.11667,0.12500,0.20884,0.25438,68.54735,83.49328,0.00258,0.00071
1.17083,0.12500,0.21837,0.26593,68.27663,83.14717,0.00207,0.00064
1.22500,0.12500,0.22499,0.27307,68.17955,82.74811,0.00213,0.00072
1.27917,0.12500,0.22814,0.27764,68.23871,83.04328,0.00197,0.00058
1.33333,0.12500,0.22977,0.27888,68.21578,82.79322,0.00189,0.00058
