ML_MAE_eV,Achieved_PCE_Percent,SQ_Saturation_Percent,LCOE_Penalty_Current,LCOE_Penalty_Future
0.07661,27.96006,99.68388,0.00013,0.00001
0.07184,28.02557,99.91744,0.00003,0.00000
0.51551,0.50000,1.78261,2.32679,0.19770
0.17942,28.04947,100.00265,0.00000,0.00000
0.54602,26.63288,94.95220,0.00225,0.00019
0.54843,17.74879,63.27842,0.02451,0.00208
0.42532,27.81312,99.16002,0.00036,0.00003
0.39022,28.04958,100.00304,0.00000,0.00000
0.19226,27.29794,97.32327,0.00116,0.00010
0.06271,27.96246,99.69245,0.00013,0.00001
0.57599,0.50000,1.78261,2.32679,0.19770
0.33904,27.70945,98.79043,0.00052,0.00004
0.08242,27.97675,99.74339,0.00011,0.00001
0.33255,28.04439,99.98454,0.00001,0.00000
0.56810,0.50000,1.78261,2.32679,0.19770
0.04898,28.04950,100.00276,0.00000,0.00000
0.03584,28.04751,99.99568,0.00000,0.00000
0.49901,27.72874,98.85919,0.00049,0.00004
0.39980,0.50000,1.78261,2.32679,0.19770
0.28779,26.82489,95.63676,0.00193,0.00016
0.03256,28.04993,100.00428,0.00000,0.00000
0.37599,27.47120,97.94101,0.00089,0.00008
0.04104,28.03991,99.96858,0.00001,0.00000
0.55974,0.50000,1.78261,2.32679,0.19770
0.06325,28.03759,99.96031,0.00002,0.00000
0.02681,28.03284,99.94335,0.00002,0.00000
0.13660,27.94242,99.62098,0.00016,0.00001
0.11284,28.04172,99.97504,0.00001,0.00000
0.48605,23.27622,82.98495,0.00866,0.00074
0.23418,27.60479,98.41728,0.00068,0.00006
0.05577,28.00390,99.84018,0.00007,0.00001
0.43746,27.79473,99.09447,0.00039,0.00003
0.57983,21.56208,76.87365,0.01270,0.00108
0.30155,27.89818,99.46327,0.00023,0.00002
0.57633,22.80670,81.31101,0.00971,0.00082
0.57520,0.50000,1.78261,2.32679,0.19770
0.55408,22.90888,81.67529,0.00947,0.00081
0.29337,27.73781,98.89152,0.00047,0.00004
0.48821,27.07952,96.54455,0.00151,0.00013
0.45081,25.10947,89.52090,0.00494,0.00042
0.59058,27.81031,99.14999,0.00036,0.00003
0.15109,27.83346,99.23253,0.00033,0.00003
0.54888,26.34572,93.92841,0.00273,0.00023
0.02741,28.04882,100.00034,0.00000,0.00000
0.53215,19.78020,70.52085,0.01765,0.00150
0.47928,27.77549,99.02586,0.00042,0.00004
0.38339,0.50000,1.78261,2.32679,0.19770
0.47029,25.36359,90.42690,0.00447,0.00038
