Formula,Predicted_Bandgap_eV,Predicted_Ef_eV_atom,Active_Material_Cost_m2,Panel_Lifetime_Years,Derate_Factor,Delta_Chi,Tolerance_Factor,Mu_Ratio,PCE_Median,LCOE_Median,LCOE_Q10_Best,LCOE_Q90_Worst,PCE_Old_Median,LCOE_Old_Median,Rank_Old,Rank_New,Rank_Delta
K2MnBiO3Se3,1.38653,-1.36237,0.29615,30.00000,0.85000,0.89000,0.98419,0.41568,25.39199,0.03677,0.03283,0.05239,25.34220,0.03679,37.00000,22.00000,15.00000
Na2SnCuO3S3,1.40714,-1.64730,0.13386,30.00000,0.85000,0.86000,0.91347,0.43827,25.37048,0.03674,0.03282,0.05075,25.30881,0.03679,37.00000,7.00000,30.00000
K2SnZnBr3I3,1.33843,-1.22836,0.36008,30.00000,0.85000,0.30000,0.94112,0.34375,25.39281,0.03683,0.03285,0.05914,25.39529,0.03679,37.00000,73.00000,-36.00000
K2TaFeS3Br3,1.37689,-1.41427,0.54720,30.00000,0.85000,0.38000,0.98453,0.33816,25.38801,0.03681,0.03287,0.05345,25.40995,0.03679,37.00000,56.00000,-19.00000
K2NbFeS3I3,1.35898,-1.19378,0.45314,30.00000,0.85000,0.08000,0.97202,0.31807,25.41013,0.03681,0.03285,0.05560,25.37720,0.03680,44.00000,54.00000,-10.00000
Na2NbZnSe3Cl3,1.39008,-1.31847,0.27218,30.00000,0.83302,0.61000,0.89859,0.36412,24.86247,0.03715,0.03313,0.05275,25.35438,0.03680,44.00000,243.00000,-199.00000
K2NbCuO3I3,1.40399,-1.66747,0.48346,30.00000,0.85000,0.78000,0.97885,0.38056,25.37292,0.03680,0.03286,0.05107,25.36385,0.03680,44.00000,40.00000,4.00000
K2FeSbO3Br3,1.45398,-1.49598,0.13376,30.00000,0.85000,0.48000,1.01959,0.37054,25.24110,0.03680,0.03285,0.04896,25.22051,0.03680,44.00000,46.00000,-2.00000
Na2MnBiO3I3,1.34330,-1.27669,0.45625,30.00000,0.83949,0.78000,0.90137,0.39028,25.07671,0.03707,0.03304,0.05863,25.37324,0.03680,44.00000,203.00000,-159.00000
Na2NbFeS3I3,1.35755,-1.08023,0.46348,30.00000,0.84339,0.08000,0.90563,0.31807,25.21130,0.03697,0.03297,0.05612,25.40413,0.03680,44.00000,151.00000,-107.00000
Na2SnCuS3Se3,1.34838,-0.81460,0.27488,30.00000,0.85000,0.03000,0.89063,0.37173,25.40413,0.03679,0.03283,0.05716,25.35295,0.03680,44.00000,30.00000,14.00000
K2ZrWSe6,1.35275,-1.32080,0.34887,30.00000,0.85000,0.00000,0.96959,0.33333,25.40605,0.03680,0.03284,0.05653,25.37962,0.03680,44.00000,43.00000,1.00000
K2FeMnO6,1.42560,-1.75551,0.03529,30.00000,0.85000,0.00000,1.05115,0.46071,25.33159,0.03674,0.03281,0.04987,25.26091,0.03680,44.00000,8.00000,36.00000
Na2SnZnF3I3,1.38220,-1.92590,0.45405,30.00000,0.79673,1.32000,0.90034,0.40741,23.76409,0.03808,0.03385,0.05535,25.36544,0.03680,44.00000,703.00000,-659.00000
K2MnSbO3Se3,1.32686,-1.40098,0.31500,30.00000,0.84360,0.89000,1.01823,0.36834,25.16436,0.03698,0.03297,0.06201,25.38353,0.03680,44.00000,163.00000,-119.00000
Na2ZrFeO3Br3,1.46339,-2.01599,0.05829,30.00000,0.85000,0.48000,0.91886,0.40625,25.21222,0.03681,0.03285,0.04863,25.23225,0.03680,44.00000,53.00000,-9.00000
Na2MnSbO3Br3,1.34447,-1.52597,0.12905,30.00000,0.85000,0.48000,0.94281,0.37054,25.40141,0.03676,0.03281,0.05780,25.35366,0.03680,44.00000,18.00000,26.00000
K2VTaS3Se3,1.41486,-1.32090,0.73859,30.00000,0.85000,0.03000,1.00409,0.30890,25.36092,0.03685,0.03291,0.05051,25.37530,0.03680,44.00000,94.00000,-50.00000
K2VSbO3Se3,1.43514,-1.53401,0.35754,30.00000,0.80870,0.89000,1.04189,0.33728,24.04560,0.03781,0.03363,0.05136,25.33178,0.03680,44.00000,584.00000,-540.00000
K2WBiSe3I3,1.38106,-1.03675,0.45945,30.00000,0.85000,0.11000,0.95217,0.32536,25.39023,0.03679,0.03286,0.05297,25.34786,0.03680,44.00000,34.00000,10.00000
