Formula,Predicted_Bandgap_eV,Predicted_Ef_eV_atom,Active_Material_Cost_m2,Panel_Lifetime_Years,Derate_Factor,Delta_Chi,Tolerance_Factor,Mu_Ratio,PCE_Median,LCOE_Median,LCOE_Q10_Best,LCOE_Q90_Worst,PCE_Old_Median,LCOE_Old_Median,Rank_Old,Rank_New,Rank_Delta
K2VNbSe6,1.12742,-1.28088,0.40434,30.00000,0.85000,0.00000,0.99600,0.29798,23.89968,0.03814,0.03314,0.36310,23.90332,0.03814,894.00000,724.00000,170.00000
Li2GeVSe3Cl3,1.27393,-1.32068,7.31875,30.00000,0.59529,0.61000,0.77258,0.28232,17.41162,0.04720,0.04061,0.11338,25.23574,0.03814,894.00000,2129.00000,-1235.00000
Na2MoGaS3Cl3,1.64371,-1.26253,2.14825,30.00000,0.82513,0.58000,0.93553,0.33151,23.22630,0.03879,0.03399,0.05115,23.94921,0.03814,894.00000,917.00000,-23.00000
K2GeVO3Br3,1.51049,-1.84725,7.00337,30.00000,0.82247,0.48000,1.05986,0.31845,24.19045,0.03886,0.03447,0.05118,24.98177,0.03815,898.00000,936.00000,-38.00000
Na2WFeO3F3,1.67814,-2.50750,0.13933,30.00000,0.85000,0.54000,0.98155,0.45941,23.52192,0.03812,0.03333,0.05037,23.49641,0.03815,898.00000,716.00000,182.00000
K2GeTaSe3Cl3,1.55682,-1.50943,5.68316,30.00000,0.81020,0.61000,1.00791,0.30871,23.54953,0.03918,0.03459,0.05150,24.73873,0.03816,900.00000,1012.00000,-112.00000
K2GeSbO3I3,1.57355,-1.31688,5.29969,30.00000,0.79681,0.78000,1.02852,0.31389,23.02442,0.03958,0.03486,0.05216,24.61107,0.03816,900.00000,1097.00000,-197.00000
Na2SnSbO3Br3,1.68021,-1.37589,0.17535,30.00000,0.85000,0.48000,0.93369,0.38393,23.49576,0.03814,0.03335,0.05043,23.46742,0.03817,902.00000,725.00000,177.00000
K2ZrCrSe3Br3,1.12194,-1.58935,0.20616,30.00000,0.85000,0.41000,0.96783,0.33883,23.80573,0.03818,0.03312,0.38632,23.85572,0.03818,903.00000,739.00000,164.00000
Na2VNbS3Se3,1.12923,-1.18986,0.33407,30.00000,0.85000,0.03000,0.93338,0.30890,23.92679,0.03810,0.03312,0.35720,23.86800,0.03818,903.00000,710.00000,193.00000
K2ZrGaS3Br3,1.65843,-1.62503,1.49583,30.00000,0.85000,0.38000,0.97399,0.35263,23.77322,0.03817,0.03348,0.05025,23.75533,0.03818,903.00000,737.00000,166.00000
Na2GeBiO3I3,1.57937,-1.24580,4.92485,30.00000,0.82574,0.78000,0.92256,0.35833,23.83505,0.03877,0.03421,0.05082,24.51379,0.03818,903.00000,910.00000,-7.00000
K2VFeS3Br3,1.11678,-1.37807,0.08631,30.00000,0.83715,0.38000,1.00428,0.31184,23.34959,0.03856,0.03335,0.41040,23.78041,0.03819,907.00000,855.00000,52.00000
Li2GeVO3Br3,1.46937,-1.71824,8.04650,30.00000,0.66397,0.48000,0.77893,0.31845,19.55265,0.04406,0.03848,0.06076,25.18895,0.03819,907.00000,1895.00000,-988.00000
Na2MnSbSe3Br3,1.12253,-1.15259,0.24355,30.00000,0.81470,0.41000,0.91644,0.31599,22.79578,0.03909,0.03379,0.39247,23.80715,0.03819,907.00000,1003.00000,-96.00000
Na2SnGaO3Br3,1.65883,-1.55246,1.65520,30.00000,0.85000,0.48000,0.92969,0.38988,23.76905,0.03821,0.03350,0.05031,23.72098,0.03820,910.00000,753.00000,157.00000
Na2TiCrS3Se3,1.12059,-1.28229,0.24709,30.00000,0.85000,0.03000,0.92597,0.31937,23.77994,0.03820,0.03313,0.39378,23.78425,0.03820,910.00000,752.00000,158.00000
K2CrWO3Br3,1.68819,-1.68455,0.12107,30.00000,0.85000,0.48000,1.02627,0.36161,23.39053,0.03822,0.03337,0.05063,23.40017,0.03821,912.00000,758.00000,154.00000
K2MnSbS3I3,1.12100,-1.00580,0.45698,30.00000,0.85000,0.08000,0.97938,0.30817,23.78933,0.03824,0.03316,0.39223,23.84669,0.03821,912.00000,760.00000,152.00000
K2GeNbSe3F3,1.53099,-2.18115,6.59210,30.00000,0.77312,1.43000,1.04163,0.35562,22.59831,0.04025,0.03549,0.05325,24.92427,0.03821,912.00000,1239.00000,-327.00000
Na2SnGaS3I3,1.66293,-0.94476,1.58174,30.00000,0.84762,0.08000,0.90140,0.32426,23.65095,0.03829,0.03355,0.05047,23.65741,0.03821,912.00000,777.00000,135.00000
K2GeSbS3Br3,1.57404,-1.02098,5.69706,30.00000,0.81841,0.38000,1.01548,0.29737,23.66292,0.03907,0.03447,0.05132,24.64028,0.03821,912.00000,999.00000,-87.00000
K2MoFeO3Br3,1.68483,-1.64204,0.15531,30.00000,0.85000,0.48000,1.02180,0.36756,23.43506,0.03819,0.03336,0.05054,23.42617,0.03822,917.00000,744.00000,173.00000
K2ZrCrSe3I3,1.12683,-1.31214,0.47600,30.00000,0.85000,0.11000,0.95649,0.31938,23.89290,0.03816,0.03315,0.36511,23.80409,0.03822,917.00000,733.00000,184.00000
K2GeInSe3Br3,1.56025,-1.21874,5.80439,30.00000,0.85000,0.41000,0.96875,0.33756,24.70510,0.03820,0.03383,0.04991,24.68258,0.03822,917.00000,749.00000,168.00000
K2SnSbO3Br3,1.68969,-1.48735,0.17864,30.00000,0.85000,0.48000,1.00972,0.38393,23.37131,0.03824,0.03338,0.05068,23.36692,0.03823,920.00000,761.00000,159.00000
K2GeGaSe3I3,1.57338,-0.98037,5.47000,30.00000,0.81592,0.11000,0.98968,0.27512,23.59512,0.03909,0.03448,0.05136,24.56926,0.03823,920.00000,1002.00000,-82.00000
Na2ZrCrSe3I3,1.12251,-1.24733,0.48553,30.00000,0.83254,0.11000,0.89238,0.31938,23.31105,0.03867,0.03348,0.38938,23.83228,0.03823,920.00000,884.00000,36.00000
Na2TiMoS3Se3,1.12131,-1.17821,0.34002,30.00000,0.85000,0.03000,0.93059,0.31283,23.79263,0.03821,0.03314,0.38962,23.75049,0.03824,923.00000,755.00000,168.00000
K2SnGaSe3Cl3,1.65894,-1.35234,1.58862,30.00000,0.85000,0.61000,0.98024,0.34565,23.76737,0.03820,0.03349,0.05029,23.69323,0.03824,923.00000,746.00000,177.00000
Na2SnInO3Br3,1.66138,-1.53651,1.48669,30.00000,0.85000,0.48000,0.89518,0.44345,23.73810,0.03820,0.03348,0.05031,23.67901,0.03824,923.00000,751.00000,172.00000
K2SnMnS3Se3,1.11567,-1.06688,0.26595,30.00000,0.85000,0.03000,0.97390,0.34948,23.69845,0.03828,0.03314,0.41207,23.78538,0.03824,923.00000,774.00000,149.00000
K2MnGaO3Cl3,1.65071,-1.81408,2.32240,30.00000,0.85000,0.28000,1.02550,0.39408,23.86359,0.03826,0.03357,0.05032,23.83460,0.03824,923.00000,769.00000,154.00000
K2GeBiO3I3,1.59375,-1.29559,4.73333,30.00000,0.84664,0.78000,0.99487,0.35833,24.32697,0.03831,0.03382,0.05010,24.35358,0.03825,928.00000,782.00000,146.00000
Na2GeNbSe3Br3,1.19860,-1.23631,5.14937,30.00000,0.79852,0.41000,0.92989,0.29695,23.18392,0.03959,0.03470,0.16942,24.71374,0.03825,928.00000,1101.00000,-173.00000
Na2GeVSe3I3,1.18955,-0.98293,4.80253,30.00000,0.77454,0.11000,0.93742,0.25598,22.39251,0.04030,0.03518,0.18911,24.65513,0.03826,930.00000,1253.00000,-323.00000
K2NbCuS3Br3,1.11489,-1.31651,0.12387,30.00000,0.85000,0.38000,0.96834,0.36053,23.68844,0.03827,0.03313,0.41372,23.68368,0.03827,931.00000,771.00000,160.00000
Na2TiWSe6,1.11652,-1.15581,0.35326,30.00000,0.84510,0.00000,0.92273,0.30429,23.57345,0.03841,0.03324,0.41110,23.71867,0.03827,931.00000,803.00000,128.00000
Na2GeMnO3Se3,1.50137,-1.44886,7.62461,30.00000,0.81874,0.89000,0.95626,0.34763,24.11087,0.03904,0.03462,0.05155,25.01744,0.03827,931.00000,987.00000,-56.00000
K2GeCrO3Br3,1.53743,-1.61827,6.95047,30.00000,0.85000,0.48000,1.04222,0.34077,24.86761,0.03829,0.03396,0.05003,24.87991,0.03828,934.00000,776.00000,158.00000
Na2GeSbS3Br3,1.57483,-0.94896,6.00228,30.00000,0.80819,0.38000,0.94377,0.29737,23.35180,0.03941,0.03473,0.05187,24.63926,0.03828,934.00000,1064.00000,-130.00000
K2FeSbO3Cl3,1.69393,-1.79037,0.15906,30.00000,0.85000,0.28000,1.03011,0.38785,23.31650,0.03829,0.03339,0.05079,23.27449,0.03830,936.00000,775.00000,161.00000
Li2GeVSe3F3,1.47922,-1.91972,8.15743,30.00000,0.57848,1.43000,0.78009,0.32523,16.94376,0.04813,0.04146,0.06761,25.09433,0.03830,936.00000,2160.00000,-1224.00000
K2GeSbSe3F3,1.55232,-1.90801,6.28222,30.00000,0.75812,1.43000,1.05106,0.34347,22.02646,0.04078,0.03582,0.05411,24.68860,0.03831,938.00000,1388.00000,-450.00000
K2WGaS3Br3,1.67681,-1.29915,1.33835,30.00000,0.84798,0.38000,0.99727,0.32105,23.48182,0.03837,0.03355,0.05077,23.53782,0.03831,938.00000,795.00000,143.00000
K2GeFeO3Se3,1.54361,-1.38949,7.12472,30.00000,0.82142,0.89000,1.03388,0.34763,23.96663,0.03908,0.03455,0.05131,24.82032,0.03831,938.00000,1000.00000,-62.00000
K2MoAgS3I3,1.13897,-1.03057,2.33830,30.00000,0.85000,0.08000,0.92760,0.38119,24.08034,0.03832,0.03339,0.31790,24.10933,0.03831,938.00000,784.00000,154.00000
K2MnSbBr3I3,1.11562,-1.25413,0.38491,30.00000,0.82720,0.30000,0.97333,0.29928,23.03460,0.03889,0.03358,0.41487,23.68482,0.03832,942.00000,951.00000,-9.00000
K2GeVS3I3,1.19313,-1.15924,5.43546,30.00000,0.80393,0.08000,1.01292,0.26485,23.30805,0.03953,0.03464,0.17898,24.70543,0.03832,942.00000,1089.00000,-147.00000
Li2WGaO3Br3,1.67353,-1.60412,1.58736,30.00000,0.66830,0.48000,0.75342,0.36310,18.45183,0.04407,0.03776,0.06033,23.56008,0.03832,942.00000,1896.00000,-954.00000
Na2NbCuS3I3,1.11254,-1.03927,0.46883,30.00000,0.85000,0.08000,0.89140,0.33911,23.64254,0.03836,0.03318,0.41950,23.67529,0.03833,945.00000,793.00000,152.00000
K2ZrCrO3I3,1.69549,-2.02929,0.45365,30.00000,0.85000,0.78000,0.98579,0.37083,23.29884,0.03835,0.03344,0.05092,23.27750,0.03833,945.00000,792.00000,153.00000
Na2GeTaSe3Cl3,1.57617,-1.39029,5.95609,30.00000,0.79637,0.61000,0.93663,0.30871,22.99186,0.03974,0.03497,0.05239,24.57000,0.03833,945.00000,1134.00000,-189.00000
Na2MoAgS3I3,1.14409,-0.92961,2.43143,30.00000,0.85000,0.08000,0.86424,0.38119,24.16302,0.03828,0.03339,0.29700,24.10026,0.03834,948.00000,773.00000,175.00000
K2MnSbI6,1.11269,-1.10126,0.58287,30.00000,0.83312,0.00000,0.96202,0.28295,23.15544,0.03881,0.03351,0.42043,23.69997,0.03834,948.00000,923.00000,25.00000
K2TiCrO3I3,1.69455,-2.05863,0.46065,30.00000,0.82723,0.78000,1.00931,0.33889,22.67396,0.03892,0.03387,0.05186,23.25007,0.03834,948.00000,957.00000,-9.00000
Na2WMnO6,1.69890,-2.15468,0.14263,30.00000,0.85000,0.00000,0.97544,0.44464,23.25242,0.03833,0.03341,0.05092,23.18830,0.03835,951.00000,788.00000,163.00000
Na2SnFeS3Se3,1.10941,-0.87816,0.26570,30.00000,0.85000,0.03000,0.90532,0.34948,23.58779,0.03837,0.03316,0.42428,23.62424,0.03835,951.00000,794.00000,157.00000
Na2MoGaSe3F3,1.66564,-1.86775,1.95695,30.00000,0.78280,1.43000,0.95381,0.36778,21.76954,0.04013,0.03491,0.05358,23.66928,0.03835,951.00000,1217.00000,-266.00000
K2TiWO3Se3,1.69865,-1.99774,0.28357,30.00000,0.83145,0.89000,1.02712,0.35651,22.74258,0.03882,0.03378,0.05174,23.25284,0.03836,954.00000,928.00000,26.00000
K2GeCrO3Se3,1.53517,-1.53213,7.18871,30.00000,0.81059,0.89000,1.04074,0.33876,23.70006,0.03933,0.03477,0.05174,24.81729,0.03836,954.00000,1047.00000,-93.00000
K2SnWS3Se3,1.69285,-1.03153,0.28949,30.00000,0.85000,0.03000,0.98248,0.33770,23.32859,0.03830,0.03341,0.05080,23.28088,0.03836,954.00000,779.00000,175.00000
K2VNbO3Se3,1.69860,-2.15005,0.34896,30.00000,0.82314,0.89000,1.03275,0.34911,22.51060,0.03905,0.03395,0.05211,23.24035,0.03836,954.00000,992.00000,-38.00000
Na2GeVO3Br3,1.52508,-1.76198,7.48007,30.00000,0.83362,0.48000,0.98005,0.31845,24.44737,0.03873,0.03433,0.05078,24.89460,0.03836,954.00000,903.00000,51.00000
K2TiMoO3Se3,1.69486,-2.02887,0.35510,30.00000,0.82819,0.89000,1.02936,0.35355,22.69729,0.03888,0.03384,0.05179,23.22459,0.03837,959.00000,944.00000,15.00000
K2MoSbSe3I3,1.11347,-0.92110,0.54280,30.00000,0.82844,0.11000,0.98231,0.28469,23.03023,0.03891,0.03359,0.41990,23.68822,0.03837,959.00000,954.00000,5.00000
Na2TaFeO3F3,1.68762,-2.81296,0.86676,30.00000,0.85000,0.54000,0.97172,0.47417,23.39990,0.03835,0.03348,0.05083,23.35506,0.03837,959.00000,790.00000,169.00000
Na2GeCrS3I3,1.19826,-1.01217,5.65656,30.00000,0.81369,0.08000,0.93008,0.28342,23.64282,0.03927,0.03446,0.16855,24.70407,0.03837,959.00000,1033.00000,-74.00000
K2GeVO3I3,1.58260,-1.77827,5.84234,30.00000,0.77297,0.78000,1.04173,0.29722,22.24491,0.04044,0.03548,0.05352,24.50196,0.03838,963.00000,1299.00000,-336.00000
K2CrMoSe3I3,1.11292,-1.06022,0.52636,30.00000,0.83290,0.11000,0.97958,0.28828,23.15176,0.03880,0.03351,0.42001,23.59776,0.03838,963.00000,919.00000,44.00000
K2GeWS3Se3,1.60409,-1.02587,5.33067,30.00000,0.85000,0.03000,1.01423,0.29581,24.32913,0.03841,0.03387,0.05029,24.31390,0.03839,965.00000,804.00000,161.00000
K2CuZnBr3I3,1.11266,-1.18741,0.34973,30.00000,0.85000,0.30000,0.93444,0.35337,23.64398,0.03833,0.03316,0.41885,23.54277,0.03839,965.00000,786.00000,179.00000
Na2WFeO3I3,1.70165,-1.48573,0.44359,30.00000,0.81804,0.78000,0.93113,0.34583,22.33127,0.03924,0.03408,0.05246,23.24200,0.03839,965.00000,1027.00000,-62.00000
Na2GeInO3I3,1.55464,-1.36967,6.72306,30.00000,0.83148,0.78000,0.91508,0.36944,24.19660,0.03880,0.03431,0.05088,24.63906,0.03839,965.00000,920.00000,45.00000
Na2TaMnO3F3,1.69533,-2.87093,0.87090,30.00000,0.85000,0.54000,0.97172,0.47417,23.30107,0.03843,0.03351,0.05104,23.28481,0.03840,969.00000,810.00000,159.00000
Na2TaFeO3Cl3,1.69905,-2.10296,0.76780,30.00000,0.85000,0.28000,0.94228,0.40031,23.25052,0.03845,0.03350,0.05111,23.25995,0.03841,970.00000,818.00000,152.00000
Na2SnGeS3Se3,1.58834,-0.85382,6.19848,30.00000,0.85000,0.03000,0.92597,0.31937,24.47529,0.03845,0.03396,0.05029,24.46975,0.03841,970.00000,817.00000,153.00000
Na2FeMnSe3Br3,1.10512,-1.19328,0.18123,30.00000,0.82291,0.41000,0.90856,0.32741,22.72390,0.03912,0.03366,0.43154,23.56450,0.03842,972.00000,1007.00000,-35.00000
K2SbCuO3Cl3,1.10510,-1.78245,0.17336,30.00000,0.85000,0.28000,1.01082,0.41433,23.50036,0.03842,0.03315,0.42996,23.47749,0.03842,972.00000,807.00000,165.00000
K2ZrInO3Br3,1.68523,-2.08664,1.45783,30.00000,0.85000,0.48000,0.96213,0.45238,23.42960,0.03843,0.03356,0.05094,23.40074,0.03842,972.00000,811.00000,161.00000
Na2GeWS3Se3,1.60398,-1.00046,5.58886,30.00000,0.84080,0.03000,0.94281,0.29581,24.06152,0.03868,0.03408,0.05073,24.32927,0.03842,972.00000,891.00000,81.00000
Li2GeVO3I3,1.58183,-1.62662,6.49381,30.00000,0.60226,0.78000,0.77524,0.29722,17.23695,0.04718,0.04049,0.06481,24.56791,0.03843,976.00000,2124.00000,-1148.00000
Na2VFeS3Br3,1.10214,-1.26847,0.07635,30.00000,0.82166,0.38000,0.93335,0.31184,22.63561,0.03919,0.03368,0.43481,23.47033,0.03844,977.00000,1015.00000,-38.00000
Na2GeFeS3Se3,1.21455,-0.85638,6.89604,30.00000,0.85000,0.03000,0.93432,0.30759,24.84895,0.03842,0.03389,0.13877,24.81187,0.03844,977.00000,809.00000,168.00000
K2SbZnO3Cl3,1.70975,-1.83816,0.15939,30.00000,0.85000,0.28000,1.00860,0.41745,23.10399,0.03847,0.03346,0.05120,23.10023,0.03844,977.00000,826.00000,151.00000
K2NbCuSe3I3,1.10528,-1.12950,0.49886,30.00000,0.85000,0.11000,0.95045,0.32775,23.50645,0.03848,0.03320,0.43088,23.57246,0.03845,980.00000,830.00000,150.00000
K2SnGeBr3I3,1.15512,-1.21903,4.16276,30.00000,0.82023,0.30000,0.97786,0.29327,23.40978,0.03923,0.03419,0.26930,24.36343,0.03845,980.00000,1025.00000,-45.00000
Na2CrWO3Br3,1.70694,-1.60874,0.11449,30.00000,0.85000,0.48000,0.94899,0.36161,23.14326,0.03842,0.03344,0.05111,23.08358,0.03846,982.00000,808.00000,174.00000
K2MoFeO3I3,1.70133,-1.49816,0.50991,30.00000,0.83170,0.78000,1.00618,0.34306,22.71306,0.03889,0.03382,0.05187,23.18793,0.03846,982.00000,952.00000,30.00000
K2WAgO3Cl3,1.66177,-1.72198,2.85137,30.00000,0.85000,0.28000,0.96410,0.48287,23.73156,0.03845,0.03368,0.05072,23.67275,0.03846,982.00000,820.00000,162.00000
K2GeMnCl3I3,1.18253,-1.36299,5.28612,30.00000,0.80150,0.50000,0.99418,0.29302,23.14240,0.03967,0.03469,0.20100,24.52282,0.03846,982.00000,1115.00000,-133.00000
K2WGaSe3Cl3,1.68959,-1.41771,1.45944,30.00000,0.82596,0.61000,0.99785,0.32190,22.70164,0.03909,0.03403,0.05208,23.35332,0.03846,982.00000,1001.00000,-19.00000
Na2SnMnO3S3,1.71010,-1.74902,0.11948,30.00000,0.85000,0.86000,0.93044,0.41204,23.09860,0.03846,0.03345,0.05121,23.07391,0.03846,982.00000,823.00000,159.00000
Na2ZrInO3Br3,1.68836,-2.08397,1.53067,30.00000,0.85000,0.48000,0.88968,0.45238,23.38744,0.03847,0.03358,0.05105,23.39703,0.03847,988.00000,828.00000,160.00000
K2GeCuO3S3,1.47639,-1.62982,9.51102,30.00000,0.85000,0.86000,1.02452,0.38889,25.17344,0.03848,0.03422,0.05093,25.12980,0.03847,988.00000,829.00000,159.00000
K2SnInO3I3,1.69067,-1.43216,1.49425,30.00000,0.85000,0.78000,0.95577,0.41389,23.35925,0.03850,0.03358,0.05110,23.33141,0.03847,988.00000,837.00000,151.00000
Na2GeVSe3Br3,1.17652,-1.24610,5.45515,30.00000,0.77196,0.41000,0.94845,0.27157,22.19109,0.04062,0.03538,0.22211,24.53657,0.03848,991.00000,1345.00000,-354.00000
K2ZrGaSe3Cl3,1.68815,-1.78973,1.63419,30.00000,0.85000,0.61000,0.97451,0.35356,23.39110,0.03849,0.03359,0.05107,23.38526,0.03848,991.00000,835.00000,156.00000
Na2WFeO3Cl3,1.71047,-1.59660,0.12263,30.00000,0.85000,0.28000,0.95075,0.38785,23.09296,0.03846,0.03345,0.05122,23.05180,0.03848,991.00000,825.00000,166.00000
Na2TiFeSe3Br3,1.10082,-1.36536,0.18689,30.00000,0.81567,0.41000,0.91556,0.31726,22.43673,0.03940,0.03381,0.43647,23.43524,0.03848,991.00000,1060.00000,-69.00000
Na2NbFeO3I3,1.70667,-1.85414,0.49059,30.00000,0.82495,0.78000,0.92351,0.35694,22.45491,0.03913,0.03397,0.05229,23.14549,0.03848,991.00000,1008.00000,-17.00000
Na2MnSbS3Se3,1.10008,-0.91464,0.30196,30.00000,0.85000,0.03000,0.92140,0.32592,23.41140,0.03853,0.03318,0.43637,23.48757,0.03848,991.00000,843.00000,148.00000
Na2GeVSe3Cl3,1.19923,-1.30407,6.85921,30.00000,0.76950,0.61000,0.95590,0.28232,22.31434,0.04077,0.03560,0.17487,24.76489,0.03848,991.00000,1386.00000,-395.00000
Li2SnGaSe3F3,1.68193,-1.76469,1.93960,30.00000,0.57654,1.43000,0.73939,0.39818,15.80425,0.04855,0.04093,0.06829,23.45524,0.03849,998.00000,2175.00000,-1177.00000
Li2GeVS3Cl3,1.45481,-1.27751,10.05577,30.00000,0.61585,0.58000,0.77452,0.29315,18.12906,0.04660,0.04041,0.06571,25.28002,0.03850,999.00000,2097.00000,-1098.00000
Li2WGaSe3I3,1.69033,-0.95670,1.40236,30.00000,0.61400,0.11000,0.74639,0.29187,16.77463,0.04662,0.03950,0.06497,23.36113,0.03850,999.00000,2098.00000,-1099.00000
K2ZrGaO3Br3,1.68644,-2.08148,1.62235,30.00000,0.85000,0.48000,0.99898,0.39881,23.41372,0.03847,0.03359,0.05102,23.36967,0.03851,1001.00000,827.00000,174.00000
Na2MoAgO3F3,1.64412,-2.30314,4.22519,30.00000,0.85000,0.54000,0.91342,0.56827,23.93303,0.03854,0.03382,0.05073,23.91340,0.03851,1001.00000,849.00000,152.00000
Li2GeTaSe3Cl3,1.59909,-1.30459,6.27035,30.00000,0.60376,0.61000,0.75700,0.30871,17.17262,0.04724,0.04045,0.06492,24.37582,0.03852,1003.00000,2131.00000,-1128.00000
K2SnBiS3I3,1.70692,-1.01492,0.43599,30.00000,0.85000,0.08000,0.94281,0.35891,23.14364,0.03848,0.03349,0.05121,23.08218,0.03852,1003.00000,832.00000,171.00000
Na2GeVS3Cl3,1.50424,-1.32728,9.18639,30.00000,0.78908,0.58000,0.96328,0.29315,23.20129,0.04015,0.03550,0.05337,25.07216,0.03852,1003.00000,1222.00000,-219.00000
Na2ZrGaSe3F3,1.68705,-2.32458,1.88607,30.00000,0.80178,1.43000,0.92703,0.40729,22.05684,0.03980,0.03458,0.05323,23.42933,0.03853,1006.00000,1146.00000,-140.00000
Na2MnGaSe3I3,1.11564,-1.02450,1.50884,30.00000,0.82057,0.11000,0.90385,0.30263,22.84580,0.03927,0.03388,0.41956,23.69031,0.03854,1007.00000,1036.00000,-29.00000
K2MoAgO3Cl3,1.66118,-1.69991,3.45171,30.00000,0.85000,0.28000,0.96613,0.47975,23.74184,0.03856,0.03377,0.05087,23.70685,0.03854,1007.00000,854.00000,153.00000
Li2GeTaSe3F3,1.58727,-2.14499,6.82259,30.00000,0.58192,1.43000,0.76260,0.35562,16.60460,0.04838,0.04134,0.06684,24.48494,0.03854,1007.00000,2169.00000,-1162.00000
Na2GeTaO3Br3,1.59712,-1.90629,6.35412,30.00000,0.85000,0.48000,0.95842,0.34821,24.40005,0.03854,0.03400,0.05049,24.36535,0.03854,1007.00000,848.00000,159.00000
K2ZrSbO3I3,1.71334,-1.85896,0.48156,30.00000,0.85000,0.78000,0.98880,0.36667,23.05277,0.03857,0.03352,0.05142,23.03679,0.03854,1007.00000,859.00000,148.00000
Na2ZrWO3Se3,1.71167,-1.93273,0.29118,30.00000,0.84395,0.89000,0.92676,0.39053,22.90879,0.03866,0.03360,0.05157,23.01672,0.03854,1007.00000,881.00000,126.00000
Na2WSbO3F3,1.71805,-2.31395,0.24084,30.00000,0.85000,0.54000,0.99284,0.44280,22.98772,0.03858,0.03350,0.05149,22.96450,0.03854,1007.00000,862.00000,145.00000
Na2VMnO3Cl3,1.72285,-2.00775,0.08239,30.00000,0.85000,0.28000,0.96372,0.36916,22.91834,0.03861,0.03349,0.05160,22.94414,0.03856,1014.00000,870.00000,144.00000
K2TaFeO3Br3,1.71080,-1.98128,0.58194,30.00000,0.85000,0.48000,1.01080,0.38244,23.08721,0.03856,0.03352,0.05137,23.05417,0.03856,1014.00000,852.00000,162.00000
K2GeMoSe6,1.16091,-0.99728,5.09329,30.00000,0.83779,0.00000,1.00777,0.28283,24.00883,0.03887,0.03397,0.25305,24.37814,0.03856,1014.00000,941.00000,73.00000
Na2GeGaO3I3,1.58246,-1.38562,7.24832,30.00000,0.79732,0.78000,0.94976,0.31944,22.96805,0.04000,0.03517,0.05280,24.51082,0.03856,1014.00000,1183.00000,-169.00000
Na2GeCuO3Se3,1.21689,-1.35727,7.49775,30.00000,0.83545,0.89000,0.93875,0.37278,24.42524,0.03888,0.03426,0.13754,24.83529,0.03857,1018.00000,945.00000,73.00000
Na2SnNbO3Br3,1.71943,-1.96213,0.15773,30.00000,0.85000,0.48000,0.92572,0.39583,22.96713,0.03858,0.03349,0.05151,22.95587,0.03857,1018.00000,863.00000,155.00000
K2GeCrS3I3,1.17165,-1.09565,5.39972,30.00000,0.83079,0.08000,0.99827,0.28342,23.91368,0.03899,0.03413,0.22299,24.41809,0.03858,1020.00000,972.00000,48.00000
Li2GeVSe3Br3,1.16493,-1.25431,5.74151,30.00000,0.59710,0.41000,0.77062,0.27157,16.86052,0.04785,0.04047,0.29164,24.43961,0.03858,1020.00000,2153.00000,-1133.00000
Na2GeVS3I3,1.16667,-1.03683,5.69451,30.00000,0.79343,0.08000,0.94373,0.26485,22.74918,0.04014,0.03495,0.24305,24.44029,0.03859,1022.00000,1219.00000,-197.00000
K2ZrSbO3Br3,1.71808,-1.95882,0.15755,30.00000,0.85000,0.48000,1.00325,0.39286,22.98725,0.03856,0.03349,0.05147,22.93866,0.03859,1022.00000,857.00000,165.00000
K2SnGeS3Se3,1.61433,-0.91750,5.87979,30.00000,0.85000,0.03000,0.99612,0.31937,24.22961,0.03860,0.03398,0.05058,24.19372,0.03860,1024.00000,868.00000,156.00000
K2ZrGaO3I3,1.69822,-2.03374,1.66235,30.00000,0.85000,0.78000,0.98480,0.37222,23.26211,0.03861,0.03364,0.05135,23.23317,0.03860,1024.00000,872.00000,152.00000
Na2NbCuSe3I3,1.10032,-0.96690,0.50913,30.00000,0.83767,0.11000,0.88675,0.32775,23.06275,0.03889,0.03344,0.43743,23.39038,0.03860,1024.00000,949.00000,75.00000
K2MnSbO3F3,1.72065,-2.35227,0.18486,30.00000,0.85000,0.54000,1.07094,0.45941,22.95150,0.03860,0.03350,0.05155,22.92812,0.03860,1024.00000,869.00000,155.00000
Na2GeCuO3S3,1.45467,-1.59964,10.42648,30.00000,0.85000,0.86000,0.94595,0.38889,25.23964,0.03857,0.03433,0.05184,25.20554,0.03860,1024.00000,860.00000,164.00000
K2GeNbO3Br3,1.60603,-1.95201,6.48520,30.00000,0.85000,0.48000,1.03647,0.34821,24.31037,0.03864,0.03404,0.05063,24.33705,0.03861,1029.00000,877.00000,152.00000
Na2MnBiSe3I3,1.09579,-0.87434,0.47594,30.00000,0.84222,0.11000,0.88119,0.33612,23.09882,0.03883,0.03337,0.44041,23.41101,0.03862,1030.00000,929.00000,101.00000
K2TiFeS3I3,1.09781,-1.28852,0.42676,30.00000,0.85000,0.08000,0.97845,0.30941,23.36525,0.03859,0.03321,0.43838,23.37994,0.03863,1031.00000,866.00000,165.00000
Na2SbCuO3Cl3,1.09313,-1.72655,0.16800,30.00000,0.85000,0.28000,0.93294,0.41433,23.26669,0.03864,0.03319,0.44110,23.26178,0.03863,1031.00000,878.00000,153.00000
Na2NbTaO3Se3,1.71389,-2.16359,0.79453,30.00000,0.83858,0.89000,0.93472,0.37870,22.73152,0.03892,0.03378,0.05202,22.99309,0.03863,1031.00000,958.00000,73.00000
