Formula,Predicted_Bandgap_eV,Predicted_Ef_eV_atom,Active_Material_Cost_m2,Panel_Lifetime_Years,Derate_Factor,Delta_Chi,Tolerance_Factor,Mu_Ratio,PCE_Median,LCOE_Median,LCOE_Q10_Best,LCOE_Q90_Worst,PCE_Old_Median,LCOE_Old_Median,Rank_Old,Rank_New,Rank_Delta,Lifetime_Ef_current,Lifetime_Ef_future
Na2MnBiO3Br3,1.44676,-1.47111,0.13641,30.0,0.85,0.48,0.91115,0.41815,25.26336,0.03679,0.03285,0.04913,25.24221,0.03682,79.0,37.0,42.0,20.0,30.0
Na2SnMoS3Se3,1.34271,-0.96463,0.35426,30.0,0.85,0.03,0.91508,0.33508,25.40254,0.03681,0.03284,0.05823,25.38617,0.03682,79.0,51.0,28.0,20.0,30.0
Na2MnBiO6,1.30416,-1.91652,0.1813,30.0,0.85,0.0,0.93832,0.50179,25.30321,0.03685,0.03285,0.06783,25.29394,0.03682,79.0,97.0,-18.0,20.0,30.0
Na2ZrWS3Se3,1.33288,-1.32692,0.27804,30.0,0.85,0.03,0.90796,0.34555,25.37396,0.03682,0.03284,0.06026,25.33326,0.03682,79.0,63.0,16.0,20.0,30.0
Na2CrMnS3I3,1.31627,-1.11437,0.43668,30.0,0.83884,0.08,0.9099,0.31188,24.9884,0.03714,0.03308,0.06503,25.33651,0.03682,79.0,232.0,-153.0,20.0,30.0
Na2MnBiO3Se3,1.38689,-1.32574,0.29933,30.0,0.85,0.89,0.9103,0.41568,25.39264,0.03676,0.03283,0.05235,25.31796,0.03682,79.0,19.0,60.0,20.0,30.0
Na2MoMnS6,1.32422,-1.13131,0.19656,30.0,0.85,0.0,0.92938,0.3356,25.3486,0.03682,0.03284,0.0623,25.32396,0.03682,79.0,70.0,9.0,20.0,30.0
K2SnCrS3Se3,1.31892,-1.05457,0.2724,30.0,0.85,0.03,0.9796,0.34162,25.3343,0.03685,0.03286,0.06364,25.34162,0.03682,79.0,92.0,-13.0,20.0,30.0
K2VCuO3Br3,1.31551,-1.73822,0.09726,30.0,0.85,0.48,1.01408,0.37798,25.32809,0.03682,0.03284,0.06447,25.30286,0.03682,79.0,64.0,15.0,20.0,30.0
K2SnMnO3Se3,1.34405,-1.49674,0.27971,30.0,0.85,0.89,0.9988,0.39497,25.40066,0.03679,0.03283,0.05795,25.32102,0.03682,79.0,35.0,44.0,20.0,30.0
